year,miningValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices,ceramicsAndGlassValueAddedCurrentPrices_state,diamondCuttingValueAddedCurrentPrices,diamondCuttingValueAddedCurrentPrices_state,paperValueAddedCurrentPrices,printingValueAddedCurrentPrices,printingValueAddedCurrentPrices_state,woodworkingValueAddedCurrentPrices,woodworkingValueAddedCurrentPrices_state,foodstuffsValueAddedCurrentPrices,textilesValueAddedCurrentPrices,clothingValueAddedCurrentPrices,leatherValueAddedCurrentPrices,chemicalsValueAddedCurrentPrices,metalsAndEngineeringValueAddedCurrentPrices,shipbuildingValueAddedCurrentPrices,utilitiesValueAddedCurrentPrices,constructionValueAddedCurrentPrices,industryTotalValueAddedCurrentPrices
1876,5.181440301250393,12.409955091789875,,7.47383656907288,,1.4256254948894973,5.351625307642281,,8.29774624390041,,80.63562237145075,47.36673961478862,50.23610062272773,11.041643809805292,3.683092268148511,23.456922380029706,22.682489999999998,6.220607790985195,40.66439999999999,326.12784786648115
1877,5.425377673728834,15.084008875480043,,8.349766929186544,,1.4798557701754185,6.226058112042957,,9.33994161192166,,91.3421555792097,58.32925423218071,51.7410718799524,10.677455637415258,2.952190225061341,21.89381514553417,19.397579999999998,6.84507020729014,45.114,354.19760187917916
1878,5.344906321966119,14.63977597271407,,9.111159926588357,,1.4457145802523275,4.773561832418694,,8.596460317954946,,89.80072821353549,53.349437650119455,47.182946676189026,9.656942706590476,2.919193988125261,22.31388923184691,13.83798,7.521623035395016,37.3272,327.82152045369617
1879,5.486423025291058,11.601587687843113,,9.823645881354668,,1.420065594537235,6.721585583058425,,7.508599011440989,,82.53813254035595,38.99353190063964,41.26076939340283,9.007048317523344,2.3712580627903015,23.64940126108736,17.072039999999998,8.152555643111922,47.8332,313.43984390243685
1880,5.236996840380288,10.440997265274117,,10.70800805117279,,1.586215870777663,6.098398922602977,,8.225986770715195,,101.45893826318591,39.12451564707883,41.11464474194989,9.163275841145543,2.4130800084206623,19.204194924920078,11.783639999999998,8.845443767098937,46.2264,321.6307369147229
1881,5.145922182880917,9.909015687295422,,11.68249973739679,,1.4976024734263471,7.325572636263106,,9.68895961395619,,103.09093699572546,58.51809209075164,48.091819785050404,8.80731667278384,2.201346758866454,17.738021521309125,6.5732099999999996,8.669286011404896,51.170399999999994,350.11000216711057
1882,4.823557911205699,10.55891482645703,,12.603286333537064,,1.526740446116845,6.74608130367777,,10.413981276683293,,105.14148376882233,67.46957573054118,52.1649738657915,8.427593524748756,1.8080415735625626,16.581078552499257,17.49918,8.905800006078655,52.282799999999995,376.95308911972194
1883,4.430643899927374,8.822028408011136,,13.431215003667829,,1.7174038880988614,7.9767635405355,,9.709149712173641,,115.08284922131244,48.92635767246914,41.56772226406264,8.023043700720917,1.7244701731168959,18.50317397328865,13.9329,8.699706889870898,52.1592,354.7066283472559
1884,4.435774573704992,6.5171351305467144,,14.184062938213566,,1.7469795606487746,5.566553440681211,,9.53176121088825,,113.74148812659269,49.310094866349644,42.33255700597038,7.993833281944077,1.5081666503275826,21.432976843637025,9.37674,9.913138779133112,47.586,345.177262408638
1885,4.188391363357516,6.441779291492963,,14.566302205048578,,1.8313242047058225,6.345551935278471,,9.279895037279339,,108.57852291725999,49.77912280503919,42.264884220578466,8.604002103414343,1.471019306789625,20.053483765783827,9.60048,10.597640084728138,49.44,343.04239924075625
